OM System 9-18mm F4.0-5.6 II	om-system-olympus	2024-01-30	lenses	MicroFourThirds	9-18mm
Panasonic Lumix S 100mm F2.8 Macro	panasonic	2024-01-08	lenses	LeicaSL	100mm
Pentax WG-90	pentax	2023-11-14	compacts		
Sony a9 III	sony	2023-11-07	slrs		
Sony FE 300mm F2.8 GM OSS	sony	2023-11-07	lenses		
Canon RF-S 10-18mm F4.5-6.3 IS STM	canon	2023-11-02	lenses	CanonRF|CanonRFS	10-18mm
Canon RF 24-105mm F2.8 L IS USM Z	canon	2023-11-02	lenses	CanonRF	24-105mm
Canon RF 200-800mm F6.3-9 IS USM	canon	2023-11-02	lenses	CanonRF	200-800mm
Viltrox AF 20mm F2.8	viltrox	2023-10-30	lenses	NikonZ|SonyE|SonyFE	20mm
Leica M11-P	leica	2023-10-26	slrs		
Leica Summicron-M 28mm F2 ASPH	leica	2023-10-26	lenses	LeicaM	28mm
Leica Super-APO-Summicron-SL 21mm F2 ASPH	leica	2023-10-19	lenses	LeicaSL	21mm
Leica Super-Vario-Elmarit-SL 14-24mm F2.8 ASPH	leica	2023-10-19	lenses	LeicaSL	14-24mm
Nikon Nikkor Z 600mm F6.3 VR S	nikon	2023-10-11	lenses	NikonZ	600mm
Canon RF 10-20mm F4 L IS STM	canon	2023-10-11	lenses	CanonRF	10-20mm
Sigma 10-18mm F2.8 DC DN	sigma	2023-10-05	lenses	CanonRF|FujifilmX|LeicaSL|SonyE	10-18mm
Sigma 70-200mm F2.8 DG DN OS | Sports	sigma	2023-10-05	lenses	LeicaSL|SonyFE	70-200mm
Nikon Nikkor Z 135mm F1.8 S Plena	nikon	2023-09-27	lenses	NikonZ	135mm
Viltrox AF 28mm F1.8	viltrox	2023-09-25	lenses	NikonZ|SonyE|SonyFE	28mm
Nikon Zf	nikon	2023-09-20	slrs		
Panasonic Leica DG Vario-Elmar 100-400mm F4.0-6.3 II ASPH Power OIS	panasonic	2023-09-13	lenses	MicroFourThirds	100-400mm
OM System Tough TG-7	om-system-olympus	2023-09-13	compacts		
Panasonic Lumix DC-G9 II	panasonic	2023-09-12	slrs		
Panasonic Leica DG Vario-Elmarit 35-100mm F2.8 Power OIS	panasonic	2023-09-12	lenses	MicroFourThirds	35-100mm
Fujifilm GFX 100 II	fujifilm	2023-09-12	slrs		
Fujifilm GF 55mm F1.7R WR	fujifilm	2023-09-12	lenses	FujifilmG	55mm
Fujifilm GF 30mm F5.6 T/S	fujifilm	2023-09-12	lenses	FujifilmG	30mm
Fujifilm GF 110mm F5.6 T/S Macro	fujifilm	2023-09-12	lenses	FujifilmG	110mm
Sony a7CR	sony	2023-08-29	slrs		
Sony a7C II	sony	2023-08-29	slrs		
Sony FE 16-35mm F2.8 GM II	sony	2023-08-29	lenses	SonyFE	16-35mm
Hasselblad XCD 28mm F4 P	hasselblad	2023-08-23	lenses	HasselbladX	28mm
Tamron 17-50mm F4 Di III VXD	tamron	2023-08-23	lenses	SonyE	17-55mm
Viltrox AF 27mm F1.2 Pro	viltrox	2023-08-09	lenses	FujifilmX|SonyE	27mm
Tamron 70-180mm F2.8 Di III VC VXD G2	tamron	2023-08-08	lenses	NikonZ|SonyE|SonyFE	70-180mm
Sony a6700	sony	2023-07-12	slrs		
Sony FE 70-200mm F4 G OSS II	sony	2023-07-12	lenses	SonyFE	70-200mm
Nikon Nikkor Z 70-180mm F2.8	nikon	2023-06-21	lenses	NikonZ	70-180mm
Nikon Nikkor Z 180-600mm F5.6-6.3 VR	nikon	2023-06-21	lenses	NikonZ	180-600mm
Sigma 14mm F1.4 DG DN	sigma	2023-06-08	lenses	LeicaSL|SonyE|SonyFE	14mm
Nikon Nikkor Z DX 24mm F1.7	nikon	2023-05-31	lenses	NikonZ	24mm
Leica Q3	leica	2023-05-25	compacts		
Fujifilm X-S20	fujifilm	2023-05-24	slrs		
Fujifilm XF 8mm F3.5 R WR	fujifilm	2023-05-24	lenses	FujifilmX	8mm
Canon EOS R100	canon	2023-05-24	slrs		
Canon RF 28mm F2.8 STM	canon	2023-05-24	lenses	CanonRF	28-undefinedmm
Sony ZV-1 Mark II	sony	2023-05-23	compacts		
HD Pentax-FA 50mm F1.4	pentax	2023-05-16	lenses	PentaxKAF	50-undefinedmm
smc Pentax-FA 50mm F1.4 Classic	pentax	2023-05-16	lenses	PentaxKAF	50-undefinedmm
Canon PowerShot V10	canon	2023-05-11	compacts		
Nikon Z8	nikon	2023-05-10	slrs		
Canon RF 100-300mm F2.8L IS USM	canon	2023-04-20	lenses	CanonRF	100-300mm
Nikon Nikkor Z DX 12-28mm F3.5-5.6 PZ VR	nikon	2023-04-18	lenses		12-28mm
Leica M11 Monochrom	leica	2023-04-13	slrs		
Leica Summilux-M 50mm F1.4 ASPH (2023)	leica	2023-04-13	lenses	LeicaM	50mm
Pentax K-3 Mark III Monochrome	pentax	2023-04-12	slrs		
Sigma 23mm F1.4 DC DN | C	sigma	2023-04-03	lenses	CanonRF|FujifilmX|LeicaSL|SonyE	23mm
Sigma 17mm F4 DG DN | C	sigma	2023-04-03	lenses	LeicaSL|SonyFE	17mm
Sigma 50mm F2 DG DN | C	sigma	2023-04-03	lenses	LeicaSL|SonyFE	50mm
Sony ZV-E1	sony	2023-03-29	slrs		
Leica Vario-Elmar-SL 100-400 f/5-6.3	leica	2023-03-09	lenses	LeicaSL	100-400mm
Sony FE 50mm F1.4 GM	sony	2023-02-21	lenses	SonyE|SonyFE	50mm
Leica Summicron-SL 35mm F2 ASPH	leica	2023-02-08	lenses	LeicaSL	35-undefinedmm
